date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2023-10-01,2023,0,,STL,CIN,1505.4073701291,1461.63259151222,0.5963171201068915,0.40368287989310847,,,1507.65234606647,1454.19079984092,,,,,,,0.6098836454656413,0.39011635453435867,,,,
2023-10-01,2023,0,,SEA,TEX,1518.72892554916,1507.16251707677,0.551006131402644,0.448993868597356,,,1512.49110601776,1516.42403165623,,,,,,,0.5323567834313868,0.4676432165686132,,,,
2023-10-01,2023,0,,NYM,PHI,1529.07114446309,1517.10587409574,0.5515740996262722,0.44842590037372776,,,1549.73401516384,1522.39513053669,,,,,,,0.5759962269343367,0.4240037730656633,,,,
2023-10-01,2023,0,,MIL,CHC,1524.72979125871,1505.40265722884,0.5620315305684784,0.43796846943152157,,,1535.78892929226,1498.28433013719,,,,,,,0.5857544735443171,0.4142455264556829,,,,
2023-10-01,2023,0,,KCR,NYY,1443.86753691528,1535.3654450272,0.4040666017886904,0.5959333982113095,,,1434.67219014828,1551.32657718915,,,,,,,0.37305840925838474,0.6269415907416153,,,,
2023-10-01,2023,0,,DET,CLE,1462.030254405,1511.99616086931,0.4627014739876512,0.5372985260123488,,,1445.23327394555,1519.84845879067,,,,,,,0.4300782524682771,0.5699217475317229,,,,
2023-10-01,2023,0,,COL,MIN,1455.63648720973,1506.53297619931,0.46136997966362503,0.538630020336375,,,1435.17545995264,1524.86817629408,,,,,,,0.4069856769612899,0.5930143230387102,,,,
2023-10-01,2023,0,,CHW,SDP,1473.19953214862,1518.46311013692,0.4694374005736317,0.5305625994263683,,,1479.28012811773,1540.18592810088,,,,,,,0.44646871182412406,0.5535312881758759,,,,
2023-10-01,2023,0,,ARI,HOU,1502.2524744769,1564.47324455565,0.44521670458340473,0.5547832954165952,,,1491.26571151091,1553.90262176272,,,,,,,0.4434119180912345,0.5565880819087655,,,,
2023-10-01,2023,0,,TOR,TBD,1537.86213465462,1561.69017472238,0.5002474702151475,0.4997525297848525,,,1544.92312923527,1557.72380878251,,,,,,,0.5195104244072326,0.4804895755927674,,,,
2023-10-01,2023,0,,ANA,OAK,1502.67153861149,1425.39778197189,0.6417524951374506,0.3582475048625494,,,1517.69877362166,1410.37705343676,,,,,,,0.6803818484044757,0.3196181515955243,,,,
